City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,79.57,light rain,-23.1203,-134.9692,People ThankYou
4,Yulara,AU,80.44,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
10,Tumpat,MY,76.98,few clouds,6.1978,102.171,Baan Tanyong B&B
14,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Dingle,PH,77.97,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
24,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
30,Tagusao,PH,80.01,overcast clouds,9.1924,117.8141,Green Villa beach resort
35,Bambous Virieux,MU,80.22,few clouds,-20.3428,57.7575,Casa Tia Villa
37,San Ignacio,BZ,89.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
44,Jacareacanga,BR,87.44,broken clouds,-6.2222,-57.7528,Casa do Ian😎
50,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
51,Mount Isa,AU,82.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
55,Planadas,CO,77.27,overcast clouds,3.197,-75.6451,Coffee Hotel Planadas
58,Butaritari,KI,80.04,light rain,3.0707,172.7902,Isles Sunset Lodge
59,Udon Thani,TH,85.89,broken clouds,17.3333,102.8333,P.T.K. Apartment
63,El Carmen,CO,88.09,broken clouds,8.5106,-73.4478,Hotel La Casona
67,Vaini,TO,79.7,overcast clouds,-21.2,-175.2,Keleti Beach Resort
69,Mahebourg,MU,80.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
72,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
76,Puerto Ayora,EC,85.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
78,Ladario,BR,80.89,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
84,Faanui,PF,82.8,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
86,Atuona,PF,77.56,light rain,-9.8,-139.0333,Villa Enata
88,San Patricio,US,79.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
