City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,72.81,81,2,14.34,clear sky
1,Ushuaia,AR,-54.8,-68.3,49.66,46,20,6.91,few clouds
2,Rikitea,PF,-23.1203,-134.9692,79.57,75,4,8.88,light rain
3,Bulgan,MN,48.8125,103.5347,12.07,76,38,3.47,scattered clouds
4,Yulara,AU,-25.2406,130.9889,80.44,24,17,11.5,few clouds
5,Busselton,AU,-33.65,115.3333,63.93,62,100,12.75,light rain
6,Albany,US,42.6001,-73.9662,59.67,83,100,3.0,overcast clouds
7,Chokurdakh,RU,70.6333,147.9167,-21.39,100,89,4.94,overcast clouds
8,Ulladulla,AU,-35.35,150.4667,61.7,87,56,5.21,broken clouds
9,Komsomolskiy,UZ,40.4272,71.7189,39.92,75,75,4.61,light rain
10,Tumpat,MY,6.1978,102.171,76.98,88,20,2.3,few clouds
11,Jamestown,US,42.097,-79.2353,64.02,45,75,17.27,broken clouds
12,Dunedin,NZ,-45.8742,170.5036,55.8,78,11,4.0,few clouds
13,Beian,NO,63.6559,9.5683,48.0,71,0,12.66,clear sky
14,Saint-Philippe,RE,-21.3585,55.7679,80.19,86,98,4.23,light rain
15,Thompson,CA,55.7435,-97.8558,24.96,58,40,3.44,scattered clouds
16,Leh,IN,34.1667,77.5833,20.84,68,2,1.61,clear sky
17,Severo-Kurilsk,RU,50.6789,156.125,32.77,98,100,18.1,light snow
18,Upernavik,GL,72.7868,-56.1549,-4.59,82,100,0.27,overcast clouds
19,Vysokogornyy,RU,50.1167,139.15,0.12,98,25,1.77,scattered clouds
20,Whitehorse,CA,60.7161,-135.0538,31.01,67,20,12.66,few clouds
21,Dingle,PH,10.9995,122.6711,77.97,84,94,6.73,overcast clouds
22,Provideniya,RU,64.3833,-173.3,-1.93,70,0,5.08,clear sky
23,Najran,SA,17.4924,44.1277,68.65,22,46,4.59,scattered clouds
24,Avarua,CK,-21.2078,-159.775,77.05,88,20,4.61,few clouds
25,Omutninsk,RU,58.67,52.1932,28.18,94,32,6.71,scattered clouds
26,Kodiak,US,57.79,-152.4072,35.11,80,100,11.5,light snow
