City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2022-03-08 00:09:22,-33.0153,27.9116,74.26,75,100,12.46
1,Washougal,US,2022-03-08 00:09:23,45.5826,-122.3534,59.76,69,0,8.05
2,Lakselv,NO,2022-03-08 00:09:23,70.0513,24.9718,24.62,80,75,13.8
3,Kavaratti,IN,2022-03-08 00:09:24,10.5669,72.642,80.73,71,25,2.1
4,Ondangwa,NA,2022-03-08 00:09:25,-17.9167,15.95,75.94,55,72,10.71
5,Punta Arenas,CL,2022-03-08 00:09:25,-53.15,-70.9167,51.91,82,0,16.11
6,Severo-Kurilsk,RU,2022-03-08 00:09:26,50.6789,156.125,33.46,97,98,24.18
7,Raudeberg,NO,2022-03-08 00:09:26,61.9875,5.1352,38.86,74,98,17.98
8,Tiznit,MA,2022-03-08 00:09:27,29.5833,-9.5,48.58,85,21,3.36
9,Magdeburg,DE,2022-03-08 00:09:27,52.1667,11.6667,33.93,80,20,3.94
10,Rikitea,PF,2022-03-08 00:09:27,-23.1203,-134.9692,79.45,74,1,15.05
11,Nchelenge,ZM,2022-03-08 00:09:28,-9.3451,28.734,69.04,93,99,5.1
12,Longyearbyen,SJ,2022-03-08 00:08:19,78.2186,15.6401,28.24,80,75,5.75
13,Qaanaaq,GL,2022-03-08 00:09:29,77.484,-69.3632,1.47,69,100,3.85
14,Half Moon Bay,US,2022-03-08 00:09:29,37.4636,-122.4286,69.85,28,40,13.8
15,Presidencia Roque Saenz Pena,AR,2022-03-08 00:09:30,-26.7852,-60.4388,77.88,83,80,12.53
16,Carnarvon,AU,2022-03-08 00:09:30,-24.8667,113.6333,85.69,40,0,15.19
17,Ushuaia,AR,2022-03-08 00:07:35,-54.8,-68.3,42.55,75,89,6.04
18,Saint Anthony,US,2022-03-08 00:09:31,45.0205,-93.218,30.04,50,0,12.66
19,Lompoc,US,2022-03-08 00:09:31,34.6391,-120.4579,68.68,53,0,5.99
20,Khatanga,RU,2022-03-08 00:09:32,71.9667,102.5,-26.01,96,51,6.51
21,Jamestown,US,2022-03-08 00:05:47,42.097,-79.2353,35.1,69,100,17.27
22,Ankazobe,MG,2022-03-08 00:09:32,-18.3167,47.1167,66.61,94,89,5.01
23,Gat,IL,2022-03-08 00:09:33,31.61,34.7642,55.4,100,98,3.18
24,Albany,US,2022-03-08 00:09:33,42.6001,-73.9662,63.81,94,100,9.66
25,Lebu,CL,2022-03-08 00:09:34,-37.6167,-73.65,57.72,85,35,5.5
26,Hobart,AU,2022-03-08 00:04:39,-42.8794,147.3294,61.27,55,40,16.11
27,Atambua,ID,2022-03-08 00:09:34,-9.1061,124.8925,75.67,88,98,0.72
28,Kapaa,US,2022-03-08 00:09:35,22.0752,-159.319,79.48,73,0,14.97
29,Salalah,OM,2022-03-08 00:09:35,17.0151,54.0924,71.69,78,0,3.44
30,Clyde River,CA,2022-03-08 00:09:35,70.4692,-68.5914,-19.97,83,0,4.61
31,Hilo,US,2022-03-08 00:08:32,19.7297,-155.09,82.13,64,40,9.22
32,Bambous Virieux,MU,2022-03-08 00:09:36,-20.3428,57.7575,75.22,83,91,7.7
33,Yellowknife,CA,2022-03-08 00:09:36,62.456,-114.3525,14.52,78,100,19.57
34,Leningradskiy,RU,2022-03-08 00:09:37,69.3833,178.4167,11.66,90,100,5.84
35,Cape Town,ZA,2022-03-08 00:07:25,-33.9258,18.4232,69.12,74,40,16.11
36,Chokurdakh,RU,2022-03-08 00:09:38,70.6333,147.9167,-13.67,97,99,3.89
37,Busselton,AU,2022-03-08 00:09:38,-33.65,115.3333,68.04,70,45,14.47
38,Vaini,TO,2022-03-08 00:09:39,-21.2,-175.2,86.16,79,40,13.8
39,Kendari,ID,2022-03-08 00:09:39,-3.945,122.4989,74.82,94,100,5.14
40,Faanui,PF,2022-03-08 00:09:40,-16.4833,-151.75,81.63,72,34,13.33
41,Cabinda,AO,2022-03-08 00:09:40,-5.55,12.2,80.29,84,93,6.33
42,Cortez,US,2022-03-08 00:09:41,37.3489,-108.5859,34.56,53,75,11.5
43,Humboldt,US,2022-03-08 00:09:41,40.6665,-123.9178,64.38,39,36,6.02
44,Pevek,RU,2022-03-08 00:09:42,69.7008,170.3133,-1.37,90,81,2.33
45,Ahuimanu,US,2022-03-08 00:09:42,21.4447,-157.8378,82.11,63,40,10.36
46,Saint-Philippe,RE,2022-03-08 00:09:43,-21.3585,55.7679,78.84,87,100,11.9
47,Tuktoyaktuk,CA,2022-03-08 00:10:43,69.4541,-133.0374,-5.58,99,94,5.66
48,Sao Filipe,CV,2022-03-08 00:10:44,14.8961,-24.4956,71.19,68,1,13.67
49,Cidreira,BR,2022-03-08 00:10:44,-30.1811,-50.2056,73.11,93,98,7.02
50,Kurilsk,RU,2022-03-08 00:10:45,45.2333,147.8833,26.22,76,98,17.36
51,Ribeira Grande,PT,2022-03-08 00:10:45,38.5167,-28.7,58.75,61,40,18.92
52,Dikson,RU,2022-03-08 00:10:46,73.5069,80.5464,-26.68,100,100,6.82
